user_id,rec_list
1000152,"['1394364', '1316648', '1389960', '1023045', '2034893', '2036343', '2361768', '4886245', '1021847', '1020961']"
1000176,"['2567698', '1089521', '1020670', '1018136', '1003000', '1037602', '1002299', '1089523', '1007928', '1270508']"
1000182,"['4238362', '1959786', '1056868', '1440589', '1089515', '3426869', '1040771', '1388169', '2160292', '1264579']"
1000288,"['1228110', '1389960', '1002299', '1059419', '1069685', '1079440', '1023658', '1151876', '1424373', '1024217']"
1000430,"['1015767', '1051440', '1061563', '1027247', '4886245', '1032431', '1418180', '1017143', '1024197', '1057601']"
1000553,"['1186392', '1012039', '1056868', '1057244', '1056733', '1008145', '1336968', '2036343', '1794620', '1119839']"
1000564,"['1007914', '1186392', '1382829', '1048610', '1082154', '1085021', '1051797', '1040771', '1031741', '1382836']"
1000566,"['1082387', '2082194', '1064828', '1051797', '1045818', '1084082', '1059336', '1020670', '1080309', '1051363']"
1000945,"['1028404', '1089521', '1192090', '3316422', '2567698', '1033190', '1794844', '1401840', '1458186', '1200840']"
1000999,"['1084336', '1082387', '5366275', '1775691', '2053249', '1212893', '3786755', '1794620', '1040104', '1255625']"
1001021,"['1292416', '1011754', '1082406', '1082578', '1389960', '1020961', '1949068', '1848256', '1070851', '1054685']"
1001058,"['2295163', '1070851', '1018136', '3344676', '1818347', '3813669', '1807516', '1056461', '1465324', '3642673']"
1001118,"['1863930', '1258490', '1161852', '5363767', '1084973', '1223575', '1263399', '1452923', '1140727', '4152754']"
1001195,"['1019568', '4113090', '3554154', '3995526', '2326403', '1949068', '1981355', '1770782', '2340955', '1786670']"
1001248,"['1078554', '1049522', '2297786', '1079440', '1089243', '1029791', '1050175', '1417905', '1027247', '1066462']"
1001258,"['1041007', '1030052', '1031740', '1000594', '1039487', '1340986', '2161892', '3066477', '1878708', '1019428']"
1001273,"['1431779', '1258490', '1192090', '1090043', '1089523', '1770782', '1805514', '1075495', '1026425', '1040771']"
1001365,"['1089521', '1056733', '1027191', '1067907', '1001885', '4113090', '3813669', '1200840', '1322248', '1006560']"
1001370,"['3392046', '1052203', '1048610', '1078554', '1083428', '1046265', '1069848', '1458164', '1025723', '1022238']"
1002057,"['3369600', '1007305', '1049354', '1085860', '1442678', '1101607', '1039752', '2275502', '3547099', '1481362']"
1002226,"['1023048', '1083428', '1052203', '1388169', '1442678', '1421921', '2139305', '1089510', '1186350', '1089511']"
