user_id,book_id,book_score
1995403,1080309,4
1943109,1057244,0
1529713,2161892,4
1873494,1844629,5
2169835,1331571,0
1296718,1017841,5
1439032,1364773,4
2566466,1427288,4
1385465,2971734,0
4051438,1031741,3
2107950,1418180,5
1952009,1119839,5
2796904,2567919,0
1561060,1049219,5
35028015,1013001,0
2194628,3335362,4
2141841,1898609,3
1609042,1068308,4
1624127,2131415,5
1959396,2361768,5
1717315,1028270,5
1125404,1761056,0
1552466,1452923,5
1546425,1812895,4
2366981,1020459,4
1013820,1203426,4
33853093,1039752,0
1560589,2250587,3
2174195,3615061,3
1397515,1030052,3
1195014,1013248,0
1896147,1045201,2
2989169,1981355,4
1155882,2081876,1
1302560,1421921,5
1080694,1089509,0
1037279,1028780,4
2010977,1086249,5
3799516,1021847,4
1071548,2382705,4
1044221,1794620,3
2749072,1292416,4
1583351,1439894,5
1433566,1914572,0
1311864,1358413,4
1228483,1059336,5
2140301,1080687,4
2140301,3608170,0
1005588,1071241,0
1416960,1082578,5
1905093,1017143,4
1419067,1203426,0
1988659,1071241,5
1225020,1012747,3
1397863,1827374,4
2124677,1401840,5
1895294,2161892,4
1162749,1141406,3
1133578,1032645,0
2254558,1012561,5
1413979,1018153,4
2194628,1914078,4
1715287,1004322,0
1103197,1949068,5
2133461,2160556,4
1186667,1054889,4
1431372,2201813,1
1411454,2158189,4
2829605,3268399,4
2620610,1080370,0
1326807,1034479,3
2984755,1938591,0
1010915,1082518,4
1485730,1024197,4
1022161,1050175,4
1067364,1927902,0
2035973,1421921,5
1285345,2062200,3
1015866,1029791,4
1059419,2258803,0
1306646,1481362,4
1504223,1033778,0
1010923,2056749,0
1300253,1090043,4
1336288,1041482,4
1389319,1205370,0
2005524,1822793,0
2369031,1082398,0
1251256,1051163,4
1227876,1046265,5
2151984,1915337,0
2085513,3879301,4
1100632,1017143,0
1326807,1057197,4
1030536,3010130,4
2745404,1329941,0
1134932,1227838,4
1325201,1758767,4
1330253,2256039,2
1323700,1017143,3
3557732,1000323,5
2253240,1026686,5
1162749,1019568,5
2196238,1369777,3
1901684,2294740,5
2710488,1006881,3
1708373,4886245,3
4916738,1002299,4
1951536,2380307,5
1759659,3394338,3
1143722,1082334,3
1414633,3071717,5
1514526,1013001,0
2168938,1082522,4
4165838,1019338,0
1359697,2294740,0
1082712,2133556,3
2699021,1041482,5
1264734,1212894,4
2518481,1047138,3
2489892,1058234,4
1513944,1369776,5
1742842,1862115,3
3480907,1780565,3
2047848,1258490,5
1161448,2171321,2
1511656,1049189,3
1427152,3323987,2
1686645,1471391,5
2566466,1021425,4
2145908,2026939,3
1348353,1440885,5
1398078,1013502,0
1410510,1029159,0
2360897,1045247,4
1080694,1917972,0
3509367,4152754,3
3869722,3609132,3
2245809,1088581,5
10501765,1139726,0
1001058,1805514,4
1144905,1013129,0
2286928,1400705,3
1372962,1015452,5
1703284,1220853,0
2627262,1082162,0
1398366,1007334,0
1222575,1151876,3
1726158,1007914,0
1400160,1119839,0
1037472,2133254,4
1374060,1035146,4
1198767,1859140,4
1506002,1812439,4
1067364,1873231,4
1759659,1056315,5
1361035,1336968,4
2251555,1793132,3
1044221,1089517,3
1212789,1220219,4
1482379,1087758,4
1259244,1007772,4
2097658,2036343,0
3987910,2158189,4
1265544,1212893,5
1312465,1151873,5
1259244,1786670,5
1994511,3239824,3
2263766,1763809,3
4659030,1018153,4
48943819,3547099,4
2005524,1030153,4
2200267,3259440,5
1115667,2297697,5
1413032,1917972,0
2048436,1418297,0
3999927,1089523,4
1382861,3151990,5
2565930,1262986,3
1480453,1057206,3
1760754,1212893,4
1489455,2036343,4
1125655,1780565,2
1247898,1022060,3
2181259,1020961,5
3869722,1938591,3
1878099,1361264,2
2236029,1030200,5
3881532,1069071,0
1949568,2160292,4
2797953,1432596,0
1251334,1426971,5
1763584,4885241,3
1434840,1925218,3
1462744,2280027,5
2048436,1049190,0
1717315,1008357,0
2616177,2265995,5
2164161,1070851,4
1257229,1061367,4
1536286,1431836,0
2034767,1046209,5
1669034,1827374,5
2727931,1016300,3
1534150,1036274,4
1005588,1065970,0
1463306,1270508,0
1253647,1006073,0
3606444,1019431,3
2272694,1082162,3
1426160,1013129,3
1933139,1141406,0
1314311,1043008,5
1277453,3344676,3
1052099,1321789,3
1038634,1010464,5
2261930,4171951,4
3742361,1476651,5
2237917,1897413,0
1398995,1449352,0
1259244,1204889,5
2522098,1074841,4
2920379,1066462,4
1391236,1002299,4
1619899,1029553,0
1064610,1368256,0
1234036,1016300,0
2512414,1044316,0
1704552,1056733,5
1959396,1088581,0
1006770,1283273,5
1672033,1034108,4
1159037,1458192,4
2275683,2256438,4
1071544,1053759,4
2174195,3246230,0
41863480,1581547,5
1313111,3067169,5
1521230,1340986,4
1698837,1049189,0
3111206,1761056,4
1047770,1006560,0
2187659,1071241,4
1373969,1452610,5
1982872,1019338,0
1600734,2256438,0
1115667,1018153,0
2942234,2256438,2
1534150,1322066,3
2154108,3506871,3
2052460,1203426,5
1459141,4112874,4
1382861,3369600,3
2009364,1088743,4
2272333,1013129,5
1112922,1439894,5
3127847,1050339,3
3368115,3394338,5
1655499,2253642,4
1760754,1346815,4
1001021,1025753,0
1003151,1255625,0
1020922,1361264,5
1061451,1025723,3
2631293,3642673,5
1275889,1382838,4
1397863,1066165,5
1712856,1948502,0
2012057,1965977,0
4897975,1203251,3
2070832,1440345,0
1348926,1213546,4
2719404,1039752,5
2190995,1058661,5
1987990,1062193,5
1587124,5366275,0
1300253,1059406,3
1142500,1028409,4
2620610,1078250,0
1128258,1049190,4
1722291,1962923,5
2224259,2180619,3
1307487,1007772,0
1422548,1759860,4
1067436,1021425,0
2198907,3311009,0
1997449,1452923,5
1228483,1016003,5
1521152,1008145,0
4476134,3646172,5
3114773,1873281,3
1003843,1007305,5
1571992,1016003,4
48943819,1089521,4
2452205,1529893,4
