book_id,predicted_score,user_id
"[1054685, 2257188, 1019485, 2243692, 1007305, 1045466]","[3.324554920196533, 3.2390854358673096, 3.150790214538574, 3.0573201179504395, 3.3293542861938477, 3.210599899291992]",1000147
"[1084336, 1008145, 2036343, 1865891, 4886245, 1389960, 1087145, 1344548, 1016523, 1316648, 1023045, 1358413, 3615061, 1063624, 1021847, 1020961, 2257188, 2034893, 1938591, 3315879, 1291355, 1041616, 4741216, 1034282, 2361768, 1151876, 1394364]","[2.8716228008270264, 3.0487265586853027, 3.1580820083618164, 2.8148856163024902, 3.12142276763916, 3.3268632888793945, 2.8949851989746094, 3.020129442214966, 2.5763304233551025, 3.392697811126709, 3.293363571166992, 2.6283226013183594, 3.003953456878662, 2.5280208587646484, 3.085355520248413, 3.055985927581787, 2.9341306686401367, 3.164803981781006, 2.5065810680389404, 2.810852289199829, 2.833336353302002, 2.8273820877075195, 2.930708408355713, 2.6780357360839844, 3.1452674865722656, 2.7033915519714355, 3.4075043201446533]",1000152
"[1024197, 1003000, 1088022, 1291355, 1020670, 1002299, 1089521, 1033778, 1085470, 1087758, 1007928, 1037602, 2567698, 1963786, 1089523, 1018136, 1270508]","[2.591280221939087, 3.036618709564209, 2.6547837257385254, 2.802933692932129, 3.2044413089752197, 2.9772915840148926, 3.249000072479248, 2.678332805633545, 2.7674808502197266, 2.4525387287139893, 2.8882358074188232, 3.0183191299438477, 3.379207134246826, 2.5417819023132324, 2.898165225982666, 3.11016845703125, 2.864431381225586]",1000176
"[1089515, 1440589, 4238362, 1205054, 1044203, 1040771, 2160292, 3426869, 1264579, 1048537, 1046265, 1388169, 1959786, 2009825, 1056868, 1962929]","[3.3711581230163574, 3.3933937549591064, 3.648719549179077, 3.0724387168884277, 3.0223886966705322, 3.2483110427856445, 3.1834235191345215, 3.2888035774230957, 3.1774322986602783, 3.120018243789673, 3.045167922973633, 3.191896915435791, 3.478754997253418, 2.688795566558838, 3.463416576385498, 3.0340304374694824]",1000182
"[1079440, 1024217, 1059419, 1389960, 1002299, 1424373, 1151876, 1228110, 1029791, 1221515, 1069685, 1023658]","[2.802184581756592, 2.6649668216705322, 2.9565024375915527, 3.033428430557251, 3.0019912719726562, 2.745574951171875, 2.7584786415100098, 3.0672340393066406, 2.56618070602417, 2.5924222469329834, 2.918156623840332, 2.764902353286743]",1000288
"[1003000, 1045818, 1082398, 1066462, 1024217]","[3.4939892292022705, 3.112873077392578, 3.179947853088379, 2.9217538833618164, 2.9461159706115723]",1000375
"[1057601, 1024197, 4886245, 1051440, 1061563, 1015767, 1017143, 1418180, 1027247, 1032431]","[2.653614044189453, 3.0408377647399902, 3.2003252506256104, 3.3352763652801514, 3.238593816757202, 3.363462209701538, 3.0897178649902344, 3.1380739212036133, 3.212002754211426, 3.140103578567505]",1000430
"[2036343, 1794844, 1073708, 1794620, 1125186, 1058679, 1336968, 1056733, 1057601, 1012039, 1424741, 1119839, 1057244, 1012032, 1079252, 1186392, 1056868, 1008145]","[2.8765206336975098, 2.700399398803711, 2.788961410522461, 2.8646931648254395, 2.7059192657470703, 2.733177423477173, 2.886500835418701, 2.9703376293182373, 2.6484951972961426, 3.190781354904175, 2.6819512844085693, 2.845191240310669, 2.980764627456665, 2.7681875228881836, 2.693021297454834, 3.2159676551818848, 3.0986742973327637, 2.9501566886901855]",1000553
"[1382829, 1152701, 3067169, 1382838, 1186392, 1007914, 1382836, 1051797, 1082162, 1031741, 1382840, 1085021, 1082154, 1040771, 1255625, 1401425, 1083428, 1048610]","[3.0223872661590576, 2.6850051879882812, 2.605233669281006, 2.670893907546997, 3.031216621398926, 3.462453842163086, 2.791851043701172, 2.8395609855651855, 2.373782157897949, 2.81843638420105, 2.730642557144165, 2.866468906402588, 2.9499828815460205, 2.8286683559417725, 2.776125907897949, 2.67020845413208, 2.7198684215545654, 2.9564573764801025]",1000564
"[1053759, 1059336, 1051797, 1927902, 2056749, 1051363, 1084082, 1080309, 1082387, 1867642, 1064828, 1917972, 2082194, 1045818, 1020670, 1090043]","[2.5247817039489746, 2.8399760723114014, 2.9355976581573486, 2.5059385299682617, 2.6084678173065186, 2.774168014526367, 2.8515193462371826, 2.808547258377075, 3.119442939758301, 2.663522481918335, 2.973536968231201, 2.365752696990967, 3.1047751903533936, 2.8579177856445312, 2.819258689880371, 2.6092782020568848]",1000566
"[2996596, 2275502, 1090043, 2143304, 1066462, 1057197, 1040771, 1017143, 1141406]","[3.821488857269287, 3.4711546897888184, 3.809134006500244, 3.593926429748535, 3.479231834411621, 3.3251123428344727, 3.7510313987731934, 3.587362766265869, 3.4024057388305664]",1000574
"[1192090, 1200840, 1139726, 1021193, 1467333, 3608170, 1028404, 1329941, 1401840, 2567698, 1089521, 1212893, 1070851, 1089518, 1794844, 1458186, 1873281, 3316422, 1033190, 1981647]","[3.8566722869873047, 3.476040840148926, 3.1745522022247314, 3.2848424911499023, 3.2549571990966797, 2.9241409301757812, 4.040752410888672, 3.1368165016174316, 3.572190523147583, 3.716693162918091, 3.9849774837493896, 3.2656571865081787, 3.2567527294158936, 3.210207939147949, 3.5742647647857666, 3.4885265827178955, 3.2407100200653076, 3.809252977371216, 3.5930962562561035, 3.282561779022217]",1000945
"[1775691, 5366275, 1255625, 1082387, 1863930, 1084336, 1794620, 3786755, 1040104, 2053249, 1212893, 1000445, 1786670, 1867064]","[3.2829222679138184, 3.2839789390563965, 3.0643482208251953, 3.2856850624084473, 2.9645466804504395, 3.318451404571533, 3.168538808822632, 3.2285573482513428, 3.149197578430176, 3.2617077827453613, 3.2343549728393555, 2.972841739654541, 2.7969985008239746, 2.6165711879730225]",1000999
"[1389960, 1014825, 1762869, 1867642, 1949068, 1848256, 1003479, 1096790, 1070851, 2161892, 1060774, 1011754, 1064271, 1143694, 1058234, 1292416, 1082406, 1082578, 1867064, 1054685, 1025723, 1424555, 1033778, 1020961]","[3.879383087158203, 3.7510769367218018, 3.3573310375213623, 3.523204803466797, 3.857008695602417, 3.842686653137207, 3.2501232624053955, 3.5169477462768555, 3.836806297302246, 3.6213860511779785, 3.7586634159088135, 3.9924302101135254, 3.7314109802246094, 3.7290687561035156, 3.5144827365875244, 4.189164161682129, 3.953200340270996, 3.9138197898864746, 3.717106342315674, 3.832474946975708, 3.6642041206359863, 3.729099750518799, 3.59222412109375, 3.859523296356201]",1001021
"[1465324, 3813669, 1025176, 3344676, 1039487, 1793132, 1292227, 1018136, 1047851, 1829226, 2143304, 3644791, 1070851, 4159088, 3642673, 1264579, 1424741, 5275059, 1818347, 1056461, 2275502, 2295163, 1449661, 1794202, 1807516]","[3.71993350982666, 3.768425464630127, 3.5120160579681396, 3.791950225830078, 3.5560107231140137, 3.2417075634002686, 3.452629327774048, 3.8012263774871826, 3.524479866027832, 3.5189900398254395, 3.446087121963501, 3.3750834465026855, 3.9067306518554688, 3.238819122314453, 3.676002264022827, 3.5269436836242676, 3.351475477218628, 3.55086088180542, 3.771068811416626, 3.7476072311401367, 3.4594781398773193, 4.1829514503479, 3.591008424758911, 3.416045665740967, 3.7589423656463623]",1001058
"[1452923, 1258490, 1140727, 1223575, 1084973, 4152754, 5363767, 1263399, 1161852, 1863930]","[2.5589542388916016, 3.118569850921631, 2.535609245300293, 2.801795721054077, 2.8302805423736572, 2.486086130142212, 2.8349318504333496, 2.779506206512451, 2.837782859802246, 3.153639793395996]",1001118
"[1019568, 3554154, 1465324, 3626924, 4113090, 2326403, 2340955, 1026425, 2180619, 3662594, 1949068, 1770782, 3995526, 1786670, 1981355]","[3.7360527515411377, 3.6464340686798096, 3.1380581855773926, 3.265839099884033, 3.667630910873413, 3.5378332138061523, 3.3462982177734375, 3.011284351348877, 3.1627254486083984, 3.1396126747131348, 3.4639699459075928, 3.3555450439453125, 3.611421585083008, 3.3054075241088867, 3.383866310119629]",1001195
"[1082518, 1027247, 1089243, 1066462, 1044316, 1049522, 1079509, 1781120, 1078554, 1029791, 1417905, 2297786, 1024217, 1006881, 1014561, 1011662, 1079440, 1703544, 1032431, 1003284, 1050175]","[2.97133731842041, 3.384225845336914, 3.5822548866271973, 3.360477924346924, 3.0320944786071777, 3.7925338745117188, 2.9239697456359863, 3.3403592109680176, 3.9039885997772217, 3.4651241302490234, 3.435941696166992, 3.674461841583252, 3.0868587493896484, 2.899118661880493, 3.1928577423095703, 3.0557594299316406, 3.5856478214263916, 3.0991671085357666, 3.221263885498047, 3.3560738563537598, 3.453035831451416]",1001248
"[1019428, 2161892, 1031740, 1000594, 1041007, 1340986, 1030052, 3066477, 1878708, 1039487]","[2.65142822265625, 3.05185604095459, 3.184673309326172, 3.116736888885498, 3.752826690673828, 3.094602346420288, 3.587637424468994, 2.9496164321899414, 2.8113956451416016, 3.102719783782959]",1001258
"[1089510, 1258490, 1140727, 1805514, 1026425, 1030052, 1039487, 1192090, 3006581, 1416954, 1431779, 1090043, 1019485, 1043485, 1000594, 1040771, 1012203, 1770782, 1089523, 1072319, 1075495, 1440885]","[3.145587921142578, 3.7559337615966797, 3.101649284362793, 3.5123965740203857, 3.3777971267700195, 3.2935752868652344, 3.0824551582336426, 3.711136817932129, 3.250912666320801, 2.7094438076019287, 3.7692461013793945, 3.608715534210205, 3.1945033073425293, 3.1213626861572266, 3.146686553955078, 3.377784252166748, 3.2204513549804688, 3.527897357940674, 3.53812837600708, 2.973287582397461, 3.445160150527954, 3.1596245765686035]",1001273
"[1060068, 1382846, 1310164, 2295163, 1083474, 1029791, 1762869, 1089521, 1012203, 1006560, 1456034, 1255624, 1076045, 1085799, 1056868, 1322248, 1056733, 1086249, 1067907, 1014533, 1001885, 1045818, 1050339, 1070851, 1059336, 1703544, 1065239, 1027191, 1019428, 4113090, 1085021, 3813669, 1261153, 1200840, 1082173, 3344676, 1036243]","[3.414003849029541, 3.175107479095459, 2.941279888153076, 3.207386016845703, 3.197655200958252, 3.3606507778167725, 3.0740818977355957, 3.9263954162597656, 3.083413600921631, 3.6051955223083496, 3.496983528137207, 3.2931630611419678, 3.3792731761932373, 3.0695300102233887, 3.4446611404418945, 3.607609272003174, 3.9090576171875, 3.5905230045318604, 3.793628454208374, 3.470827102661133, 3.7609410285949707, 3.4765875339508057, 3.4270966053009033, 3.4325032234191895, 3.5115580558776855, 3.1186022758483887, 3.282799243927002, 3.897620916366577, 3.266127109527588, 3.7460289001464844, 3.3482513427734375, 3.7159042358398438, 3.3509740829467773, 3.6907033920288086, 3.3434786796569824, 3.4309558868408203, 2.9397225379943848]",1001365
"[1078554, 3392046, 2250587, 1052203, 1025723, 1046265, 1047719, 1458164, 1048610, 1022238, 1069848, 1083428, 1968643, 2257188, 2214350]","[3.4337635040283203, 3.9364004135131836, 3.0556259155273438, 3.6013710498809814, 3.2235171794891357, 3.30318021774292, 3.0215048789978027, 3.228097438812256, 3.5303244590759277, 3.2046337127685547, 3.2852718830108643, 3.3399879932403564, 2.7216415405273438, 3.147019624710083, 3.160219430923462]",1001370
"[1007305, 1212894, 1058661, 1056733, 1461903, 1051797, 1044316, 1083477, 1044663]","[2.658404588699341, 2.498076915740967, 2.318289279937744, 2.287773609161377, 2.4089877605438232, 2.4567275047302246, 2.024517774581909, 2.2118797302246094, 2.1701345443725586]",1001406
"[1401425, 1442678, 1039752, 1007305, 3369600, 1049354, 2160292, 1481362, 1367458, 2275502, 1085860, 3547099, 1101607]","[2.8667657375335693, 3.3077404499053955, 3.167875289916992, 3.7250332832336426, 3.7278871536254883, 3.6536550521850586, 2.842764377593994, 2.925544023513794, 2.8712823390960693, 3.0926806926727295, 3.492919921875, 2.9352169036865234, 3.2598252296447754]",1002057
"[1421921, 1388169, 1004322, 1052828, 1013380, 1186350, 1089511, 1083428, 1052203, 1089518, 1089510, 2139305, 1023048, 1442678, 1205370]","[2.613767147064209, 2.769864559173584, 2.42934513092041, 2.534449577331543, 2.4070725440979004, 2.5765879154205322, 2.5731890201568604, 2.8820481300354004, 2.861262798309326, 2.2379751205444336, 2.588165760040283, 2.5934031009674072, 3.037929058074951, 2.749054431915283, 2.256817579269409]",1002226
"[1262986, 1054685, 1367458, 1059419, 1119839, 1080309, 1255624, 4113090, 1080544, 1449352, 1056733, 1018136, 1006560, 3000997, 1389960]","[3.3312764167785645, 3.666562557220459, 3.483060359954834, 3.830160140991211, 3.1600327491760254, 3.421145439147949, 3.38200044631958, 3.7126505374908447, 3.2439804077148438, 3.364348888397217, 3.681234836578369, 3.651960611343384, 3.3640060424804688, 2.8737549781799316, 3.4709768295288086]",1002351
"[1024217, 1031740, 1039752, 3905366, 1291809, 2052448, 1057197]","[2.6076102256774902, 2.707458257675171, 3.0726513862609863, 3.1301088333129883, 3.1783900260925293, 2.7886815071105957, 2.7345852851867676]",1002682
"[1041482, 1201821, 1068920, 1125186, 2032117, 3013903, 1018577, 1061118, 1078554, 1075495, 3010133, 1086249, 1203251, 1119522, 1073708, 1015699, 1067907, 3010130, 1053759, 1291809, 1014561]","[2.461700916290283, 2.872429370880127, 2.8880109786987305, 2.4530553817749023, 2.7885143756866455, 2.5617263317108154, 2.2598280906677246, 2.58225679397583, 2.667928695678711, 2.7766547203063965, 2.805450439453125, 2.300860643386841, 2.352396011352539, 2.5542142391204834, 2.4263973236083984, 2.4104533195495605, 2.8735880851745605, 2.540830135345459, 2.2396955490112305, 2.5871822834014893, 2.4895055294036865]",1003151
"[1049215, 1759860, 1023045, 3239824, 1473250, 1064275]","[2.398139476776123, 2.5332579612731934, 2.6628572940826416, 2.7171969413757324, 2.437439441680908, 2.4226064682006836]",1003232
